Tr-loss,Val-loss,b-mean,b-median,b-tri-mean,b-b25,b-wst25,b-wst,b-bst,mean,median,trimean,bst25,wst25,wst95,bst
3.9187431600358753,4.106863784790039,4.106863784790039,3.6282801628112793,3.717533230781555,3.109178066253662,5.432189464569092,6.359984397888184,2.9324817657470703,4.106863784790039,3.6282801628112793,3.717533230781555,3.109178066253662,5.432189464569092,6.359984397888184,2.9324817657470703
3.862523900138007,0,4.106863784790039,3.6282801628112793,3.717533230781555,3.109178066253662,5.432189464569092,6.359984397888184,2.9324817657470703,4.106863784790039,3.6282801628112793,3.717533230781555,3.109178066253662,5.432189464569092,6.359984397888184,2.9324817657470703
3.8324813842773438,4.123500394821167,4.106863784790039,3.6282801628112793,3.717533230781555,3.109178066253662,5.432189464569092,6.359984397888184,2.9324817657470703,4.123500394821167,3.598097085952759,3.7005677819252014,3.07251238822937,5.50715970993042,6.480754852294922,2.932573080062866
3.780918916066488,0,4.106863784790039,3.6282801628112793,3.717533230781555,3.109178066253662,5.432189464569092,6.359984397888184,2.9324817657470703,4.123500394821167,3.598097085952759,3.7005677819252014,3.07251238822937,5.50715970993042,6.480754852294922,2.932573080062866
3.8622838921017117,4.029764986038208,4.029764986038208,3.5293004512786865,3.6411226987838745,3.0548553466796875,5.399958610534668,6.348882675170898,2.76475191116333,4.029764986038208,3.5293004512786865,3.6411226987838745,3.0548553466796875,5.399958610534668,6.348882675170898,2.76475191116333
3.780998362435235,0,4.029764986038208,3.5293004512786865,3.6411226987838745,3.0548553466796875,5.399958610534668,6.348882675170898,2.76475191116333,4.029764986038208,3.5293004512786865,3.6411226987838745,3.0548553466796875,5.399958610534668,6.348882675170898,2.76475191116333
3.8587499724494085,4.118094635009766,4.029764986038208,3.5293004512786865,3.6411226987838745,3.0548553466796875,5.399958610534668,6.348882675170898,2.76475191116333,4.118094635009766,3.601501941680908,3.69685697555542,3.05837345123291,5.522864103317261,6.519677639007568,2.8848695755004883
3.7451316250695124,0,4.029764986038208,3.5293004512786865,3.6411226987838745,3.0548553466796875,5.399958610534668,6.348882675170898,2.76475191116333,4.118094635009766,3.601501941680908,3.69685697555542,3.05837345123291,5.522864103317261,6.519677639007568,2.8848695755004883
3.6830870575375028,3.90260910987854,3.90260910987854,3.477977752685547,3.5892485976219177,3.0822579860687256,5.179790258407593,6.040799617767334,2.593229293823242,3.90260910987854,3.477977752685547,3.5892485976219177,3.0822579860687256,5.179790258407593,6.040799617767334,2.593229293823242
3.6541443136003284,0,3.90260910987854,3.477977752685547,3.5892485976219177,3.0822579860687256,5.179790258407593,6.040799617767334,2.593229293823242,3.90260910987854,3.477977752685547,3.5892485976219177,3.0822579860687256,5.179790258407593,6.040799617767334,2.593229293823242
3.6796593930986194,3.921037721633911,3.90260910987854,3.477977752685547,3.5892485976219177,3.0822579860687256,5.179790258407593,6.040799617767334,2.593229293823242,3.921037721633911,3.4093785285949707,3.5181158781051636,2.9263010025024414,5.2994465827941895,6.271487712860107,2.6706159114837646
3.6363823413848877,0,3.90260910987854,3.477977752685547,3.5892485976219177,3.0822579860687256,5.179790258407593,6.040799617767334,2.593229293823242,3.921037721633911,3.4093785285949707,3.5181158781051636,2.9263010025024414,5.2994465827941895,6.271487712860107,2.6706159114837646
